name,address,latitude,longitude
"Grahn Volunteer Fire Department, Inc.","Grahn Rd, Olive Hill, KY 41164, USA",38.27243259999999,-83.08149089999999
Grand Lakes Fire Department,"1021 Jake Dukes Rd, Grand Rivers, KY 42045, USA",37.0532868,-88.2728202
Grapevine Community Volunteer Fire Department,"2225 Grapevine Rd, Madisonville, KY 42431, USA",37.2998183,-87.4850989
Grapevine/Chavies Volunteer Fire Department,"Chavies, KY 41727, USA",37.3791772,-83.2880591
Gray Hawk Volunteer Fire Department,"US-421, Gray Hawk, KY 40434, USA",37.38822469999999,-83.93044239999999
Grayson Fire Department,"316 E 3rd St, Grayson, KY 41143, USA",38.3338615,-82.94359419999999
Green County Volunteer Fire & Rescue Department,"207 E Hodgenville Ave, Greensburg, KY 42743, USA",37.26179080000001,-85.4995182
Greenup Fire Department,"1110 Walnut St, Greenup, KY 41144, USA",38.5725987,-82.83044129999999
Greenville Fire Department,"200 Court St, Greenville, KY 42345, USA",37.1999276,-87.1772761
Gulnare Volunteer Fire Department,"978 Sycamore Rd, Pikeville, KY 41501, USA",37.62896509999999,-82.538162
Hacker Volunteer Fire & Rescue,"Hacker Ln, Manchester, KY 40962, USA",37.1449519,-83.766177
Hadley Volunteer Fire Department,"255 Hadley School Rd, Bowling Green, KY 42101, USA",37.0586501,-86.606331
"Hanson Volunteer Fire Department, Inc.","53 Sunset Rd, Hanson, KY 42413, USA",37.41715300000001,-87.482173
Hardinsburg Fire Department,"220 S Main St, Hardinsburg, KY 40143, USA",37.7806654,-86.4610747
"Hardyville Volunteer Fire Department, Inc.","111 N Jackson Hwy, Hardyville, KY 42746, USA",37.25473119999999,-85.7859905
Harlan Fire Department,"114 N Main St, Harlan, KY 40831, USA",36.8476088,-83.3226178
